epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,32974.8,0.70103,0.60587,0.50706,0.90702,0.98574,1,0.99491,0.85729,0.98574,1,0.99491,0.87216,0.59029,0.56712,0.39987,0.84108,0.0008516,0.0008516,0.0008516
31,33997.5,0.69485,0.60413,0.49268,0.89731,0.98997,1,0.99455,0.86037,0.98997,1,0.99455,0.86741,0.61907,0.59559,0.4125,0.84146,0.000812,0.000812,0.000812
32,35024.4,0.66932,0.54272,0.47308,0.8879,1,0.99969,0.995,0.87905,1,0.99969,0.995,0.87677,0.57709,0.54992,0.40393,0.83683,0.0007724,0.0007724,0.0007724
33,36028.9,0.66714,0.5639,0.47027,0.88985,1,0.99912,0.995,0.89244,1,0.99912,0.995,0.87414,0.54617,0.55129,0.39538,0.83597,0.0007328,0.0007328,0.0007328
34,37049.8,0.62749,0.55719,0.44841,0.89461,0.99728,1,0.995,0.89087,0.99728,1,0.995,0.86714,0.53351,0.60132,0.38259,0.83598,0.0006932,0.0006932,0.0006932
35,38073.3,0.65526,0.568,0.46,0.88592,0.99671,1,0.995,0.898,0.99671,1,0.995,0.85735,0.50061,0.61108,0.37235,0.8282,0.0006536,0.0006536,0.0006536
36,39107.2,0.6346,0.53642,0.45674,0.88716,0.99867,0.99091,0.995,0.87197,0.99867,0.99091,0.995,0.86841,0.60175,0.55112,0.42268,0.84791,0.000614,0.000614,0.000614
37,40132.1,0.62793,0.53199,0.45325,0.88995,1,0.99946,0.995,0.88834,1,0.99946,0.995,0.87774,0.51239,0.52988,0.37099,0.82625,0.0005744,0.0005744,0.0005744
38,41175.1,0.61173,0.50866,0.45501,0.87698,0.99889,1,0.995,0.89753,0.99889,1,0.995,0.89219,0.54019,0.52438,0.35927,0.82764,0.0005348,0.0005348,0.0005348
39,42214.5,0.60888,0.54171,0.43997,0.8702,0.99,1,0.9923,0.8917,0.99,1,0.9923,0.86531,0.50759,0.5525,0.36692,0.81871,0.0004952,0.0004952,0.0004952
40,43251,0.60692,0.53209,0.4371,0.87869,0.98162,1,0.99372,0.88584,0.98162,1,0.99372,0.87255,0.52993,0.5887,0.363,0.83006,0.0004556,0.0004556,0.0004556
41,44274.6,0.47605,0.46685,0.36053,0.80841,1,0.99072,0.995,0.89867,1,0.99072,0.995,0.89458,0.48152,0.53731,0.36321,0.82194,0.000416,0.000416,0.000416
42,45307.9,0.48033,0.43678,0.3597,0.80233,0.99099,0.99947,0.99419,0.90155,0.99099,0.99947,0.99419,0.88052,0.50589,0.54532,0.36914,0.82714,0.0003764,0.0003764,0.0003764
43,46327.6,0.46057,0.43488,0.33978,0.8116,0.99084,1,0.995,0.89503,0.99084,1,0.995,0.88864,0.50081,0.55447,0.35286,0.82524,0.0003368,0.0003368,0.0003368
44,47346.5,0.44724,0.42291,0.33216,0.80075,0.99043,1,0.995,0.89232,0.99043,1,0.995,0.87985,0.49585,0.55662,0.34322,0.82632,0.0002972,0.0002972,0.0002972
45,48349.9,0.44138,0.444,0.32373,0.79903,0.99703,0.99091,0.995,0.90195,0.99703,0.99091,0.995,0.89081,0.48741,0.55137,0.3429,0.82445,0.0002576,0.0002576,0.0002576
46,49363.9,0.43705,0.42774,0.32297,0.80086,0.99039,1,0.995,0.9035,0.99039,1,0.995,0.88479,0.49795,0.55029,0.33658,0.82488,0.000218,0.000218,0.000218
47,50376.8,0.41913,0.42997,0.31519,0.79723,0.99035,1,0.995,0.89736,0.99035,1,0.995,0.88541,0.4921,0.55091,0.31822,0.81916,0.0001784,0.0001784,0.0001784
48,51417.5,0.42076,0.424,0.30922,0.79545,0.99032,1,0.995,0.91553,0.99032,1,0.995,0.88464,0.47933,0.55149,0.32142,0.81621,0.0001388,0.0001388,0.0001388
49,52445.5,0.40672,0.41505,0.30522,0.79478,0.99029,1,0.995,0.91466,0.99029,1,0.995,0.88894,0.44899,0.55308,0.30906,0.81514,9.92e-05,9.92e-05,9.92e-05
50,53464,0.38965,0.42372,0.29415,0.79336,1,0.99687,0.995,0.92393,1,0.99687,0.995,0.89489,0.4453,0.552,0.30092,0.8153,5.96e-05,5.96e-05,5.96e-05
